global_id,source_file,local_id,question,answer_excerpt,theme_cluster,primary_books,secondary_books,how_to_enrich,compliance_guardrail
JIM-LIT-0001,Harpian_150_Questionnaire.docx,1,1. O que é um Risk Number em linguagem simples?,"Risk Number é uma pontuação numérica entre 1 e 99 que representa a quantidade de risco que um investidor está disposto a aceitar em sua carteira. Em termos práticos, ele é derivado da maior perda tolerável em um período de 6 meses com 95% de confiança estatística. Um Risk Number 1 indica tolerância mínima ao risco; 99 indica tolerância máxima. O conceito foi popularizado pela plataforma Riskalyze (atual Nitrogen Wealth) e tem sido adotado como linguagem padronizada em contextos de planejamento f",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile | B05: The Mathematical Theory of Communication,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0002,Harpian_150_Questionnaire.docx,2,2. Quais metodologias públicas existem para transformar risco em escala de 1 a 100?,"As principais abordagens incluem: (i) Métodos baseados em Valor em Risco (VaR), que calculam a perda máxima esperada a um dado nível de confiança; (ii) Modelos de pontuação psicométrica, como os questionários FinaMetrica e Riskalyze, que combinam dados quantitativos e comportamentais; (iii) Abordagens baseadas em volatilidade histórica anualizada, normalizadas para uma escala de 1–100; (iv) Frameworks híbridos que combinam capacidade de risco (financeira) e tolerância ao risco (psicológica), com",adversarial_failure_limits,B11: Antifragile | B07: The Misbehavior of Markets | B04: Thinking in Bets,B10: The Most Important Thing | B14: The Art of War,"Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado.","Enfatizar limites, cenários de falha e ausência de garantia; escalar para humano quando envolver ação financeira."
JIM-LIT-0003,Harpian_150_Questionnaire.docx,3,3. Como o Riskalyze/Nitrogen calcula ou comunica o Risk Number?,"O Nitrogen (ex-Riskalyze) calcula o Risk Number a partir de um intervalo de confiança de 95% sobre os retornos esperados em uma janela de 6 meses. O sistema solicita ao investidor que escolha entre pares de trade-offs de ganho/perda hipotéticos (gamificação decisória baseada na Teoria da Perspectiva de Kahneman & Tversky), extraindo implicitamente a aversão à perda do usuário. Esse dado comportamental é combinado com a volatilidade histórica dos ativos da carteira para gerar o Risk Number do por",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile | B05: The Mathematical Theory of Communication,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0004,Harpian_150_Questionnaire.docx,4,4. Qual é a diferença entre Risk Number e volatilidade?,"Volatilidade é uma medida estatística de dispersão dos retornos, usualmente expressa como desvio padrão anualizado (ex.: 18% a.a.). É simétrica e não distingue movimentos de alta de movimentos de baixa. O Risk Number, por contraste, é uma tradução comportamental e contextualizada do risco: incorpora a assimetria de aversão à perda do investidor e expressa o risco como perda tolerável em linguagem acessível. Um portfólio com 18% de volatilidade pode ter Risk Numbers muito diferentes dependendo do",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile | B04: Thinking in Bets,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0005,Harpian_150_Questionnaire.docx,5,5. Qual é a diferença entre Risk Number e drawdown?,"Drawdown mede a queda percentual do valor de um portfólio desde seu pico até seu vale subsequente — é uma medida realizada (ex-post) do risco observado. O Risk Number é prospectivo e probabilístico: estima a perda máxima esperada em 6 meses com 95% de confiança. Além disso, drawdown não incorpora a dimensão comportamental do investidor (sua tolerância), enquanto o Risk Number é construído para refletir justamente essa tolerância. Em termos práticos, um portfólio pode ter um max drawdown históric",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile | B04: Thinking in Bets,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0006,Harpian_150_Questionnaire.docx,6,6. Qual é a diferença entre Risk Number e suitability?,"Suitability (adequação) é um conceito regulatório que determina se um produto ou estratégia de investimento é apropriada para um cliente específico, considerando seu perfil financeiro, objetivos, experiência e tolerância ao risco. É obrigatório sob regulações como FINRA Rule 2111 (EUA), MiFID II (Europa) e ICVM 539 (Brasil). O Risk Number é uma ferramenta analítica — uma métrica que quantifica a tolerância ao risco. A suitability é o processo regulatório completo que pode usar o Risk Number como",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0007,Harpian_150_Questionnaire.docx,7,7. Como explicar Risk Number para um cliente leigo?,"Imagine que sua carteira de investimentos é como uma viagem de avião. O Risk Number é como o nível de turbulência que você aceita durante o voo. Nível 10 é um voo completamente suave — mas você provavelmente chega mais devagar. Nível 90 é uma experiência muito mais turbulenta — mas geralmente chega mais rápido (retorno potencial maior). O Risk Number de 1 a 99 indica: se você tem Risk Number 40, significa que você tolera uma queda de até X% em 6 meses sem vender em pânico e sair do investimento ",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0008,Harpian_150_Questionnaire.docx,8,8. Como explicar Risk Number para um Family Office?,"Para um Family Office, o Risk Number deve ser apresentado como uma métrica de alinhamento entre o mandato de investimento definido pelo Conselho/Comitê de Investimento e a exposição efetiva do portfólio. O FO geralmente possui múltiplos beneficiários com horizontes e objetivos distintos (geração atual x preservação multigeracional). O Risk Number operacionaliza essa complexidade em uma escala mensurável. Especificamente: o Risk Number do portfólio deve ser compatível com o Risk Number aprovado n",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0009,Harpian_150_Questionnaire.docx,9,9. Quais inputs mínimos são necessários para estimar Risk Number?,"Os inputs mínimos para estimar um Risk Number aproximado incluem: (i) composição da carteira atual (tickers ou classes de ativos e seus pesos); (ii) volatilidade histórica dos ativos (desvio padrão); (iii) correlações entre os ativos; (iv) horizonte de tempo de referência (padrão: 6 meses); (v) nível de confiança (padrão: 95%). Para gerar o Risk Number comportamental (de tolerância do investidor), adicionam-se: (vi) respostas a questionário de trade-off ganho/perda; (vii) patrimônio líquido e re",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0010,Harpian_150_Questionnaire.docx,10,"10. Como renda, patrimônio, horizonte e dependentes afetam capacidade de risco?","A capacidade de risco é a dimensão objetiva e financeira do perfil de risco. (i) Renda: quanto maior e mais estável a renda, maior a capacidade de absorver perdas temporárias sem comprometer o padrão de vida — aumenta a capacidade. (ii) Patrimônio: base de capital maior dilui o impacto percentual de perdas — aumenta a capacidade. (iii) Horizonte: horizontes mais longos permitem recuperação de drawdowns e exploração do prêmio de risco de longo prazo (evidenciado por Dimson, Marsh & Staunton) — au",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile | B14: The Art of War,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
