id,arquivo_origem,trecho_ou_template,tipo_risco,severidade,problema,resposta_corrigida_sugerida,disclaimer_recomendado,status
JIM-COMP-0001,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\COMPLIANCE_AUDIT_QA_HARPIAN.md,"line_block_8: - `JIM_Architecture_v2.txt:259` mostra simulacao com percentuais HPC11/HPC22. O disclaimer existe, mas a resposta precisa tambem registrar que requer review humano/suitability antes de qualquer acao. Validacao: aprovavel com correcao. Toda simulacao de alocacao deve trazer status ""diagnostico matematico"", nao ""proposta"", e acionar trilha de suitability/approval quando o usuario pedir acao. ## Correcoes obrigatorias antes de uso externo - Incluir bloco padrao de disclosure para toda resposta com performance, simulacao, benchmark, risco, drawdown, CAGR ou alocacao. - Separar materiais por audiencia: institutional, advisor, non-US qualified, US ",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0002,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_4Layers.docx,"paragraph_block_51: E se quiser mudar de gaveta, precisa passar pelo nosso processo de revisão — não é um obstáculo, é uma proteção para você mesmo.' Qual a relação entre gavetas mentais e comportamento em drawdown? ⚡ QUICK MODE Gavetas mentais reduzem drasticamente o comportamento de panic selling porque o investidor sabe que o capital de curto prazo está protegido — o drawdown no portfólio de crescimento não ameaça suas necessidades imediatas. 🔬 DEEP MODE 1 O principal gatilho de panic selling durante drawdowns é a percepção de ameaça às necessidades imediatas: 'se continuar caindo, não vou ter dinheiro para pagar as contas'. A gaveta de liquidez elimina esse ",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0003,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_4Layers.docx,"paragraph_block_52: Quando o portfólio de crescimento cai 20%, o cliente sabe que suas despesas estão garantidas por 2 anos — e o drawdown passa de 'ameaça imediata' para 'volatilidade esperada do capital de longo prazo'. Essa separação cognitiva é o maior fator de proteção comportamental contra o timing ruim que DALBAR documenta como destruidor de retorno. 📐 DEEP MODE 2 Estudo DALBAR (2023): retorno médio do investidor em S&P 500 nos últimos 20 anos = 6,8% a.a. vs. retorno do índice = 10,4% a.a. Diferença: 3,6% a.a. por timing ruim. Em $1M, ao longo de 20 anos: com 10,4% = $7,26M; com 6,8% = $3,69M. Diferença de $3,57M causada exclusivamente por decisões emocio",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0004,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_4Layers.docx,"paragraph_block_78: Um portfólio de CDI + bonds parece 'sem risco' (percepção), mas tem risco real enorme: risco de não atingir o objetivo. Um portfólio HPC parece 'arriscado' (percepção), mas tem risco real menor para objetivos de longo prazo por seu mecanismo defensivo. 📐 DEEP MODE 2 Comparação de riscos reais vs. percebidos. Portfólio A (bonds, CAGR 5%, volatilidade 3%): Risco percebido = baixíssimo. Risco real: probabilidade de shortfall $3M em 20 anos = 68%. Portfólio B (HPC, CAGR 15%, volatilidade 20%): Risco percebido = alto. Risco real: probabilidade de shortfall $3M em 20 anos = 12%. Paradoxo: o portfólio que 'parece' mais seguro tem 5× mais probabilida",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0005,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_4Layers.docx,"paragraph_block_173: O alinhamento de expectativa requer: (i) comunicar CAGR de longo prazo, não retorno do período recente; (ii) apresentar explicitamente os piores períodos históricos e a narrativa deles; (iii) criar o 'contrato emocional': 'quando o portfólio cair 15%, você vai querer vender. Nosso plano é [ação específica]'; (iv) revisões periódicas que comparam performance real vs. expectativa calibrada. 📐 DEEP MODE 2 Exemplo de alinhamento incorreto: 2025, HPC22 subiu +82%. Advisor apresenta ao cliente essa performance como base de expectativa. Cliente entra em 2026 esperando +80%. 2026 YTD: +12% (ainda excelente historicamente). Cliente fica insatisfeito. ",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0006,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_4Layers.docx,paragraph_block_174: Expectativa calibrada = satisfação real mais fácil de atingir. 💼 ARGUMENTO 'Quero fazer um exercício com você antes de assinar. Me diz: qual retorno você espera desse portfólio por ano? [...] Agora vamos calibrar. O retorno médio histórico de longo prazo é X%. Haverá anos de +80% — você vai se sentir gênio. Haverá anos de −15% — você vai querer vender. E haverá anos de +10% onde o S&P 500 vai superar. Todos esses fazem parte do mesmo portfólio. O compromisso que preciso de você não é para os anos de +80% — é para os anos de −15%. Você consegue honrar esse compromisso?' Qual o impacto do medo na performance? ⚡ QUICK MODE Medo gera paralisia ou,Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0007,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_Objections.docx,"paragraph_block_120: 🟢 SIMPLIFICADA Tem quatro camadas de governança: a empresa emissora (SPV irlandesa regulada), a gestora (Harpian LLC com contrato de acionistas), o administrador do programa (Lynk Capital), e a regulação da bolsa onde está listado (Viena). Cada camada tem obrigações legais independentes. 🟡 CONTRA-ARGUMENTO Governança não é garantia de performance — é garantia de processo. A estrutura de governança Harpian garante: separação de ativos (bankruptcy remoteness), decisões com processo documentado, e disclosure regulatório. Não garante que o modelo vai funcionar — garante que quando não funcionar, o processo de comunicação e de decisão será adequad",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0008,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\Harpian_JIM_QuantDD.docx,"paragraph_block_47: Se o mercado ficar de lado por 2 anos — sem cair muito mas sem subir muito — o sistema vai gerar rotações que não produzem retorno, e possivelmente vai sair e re-entrar algumas vezes desnecessariamente. Nos anos específicos de sideways, o índice passivo provavelmente vai superar. Isso é real e documentado. A questão é se você está avaliando o sistema pelo seu pior regime ou pelo período de 10–15 anos que inclui o regime onde ele realmente faz a diferença.' BLOCO 3 — ENGINE DE MOMENTUM — ALPHADROID LOGIC Como o sistema evita overfitting na seleção de momentum? ⚡ RESPOSTA RÁPIDA Três mecanismos: (1) parsimony — <10 parâmetros livres para todo o",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0009,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\config\response_templates.json,templates[10].lines[2]: All figures presented are based on historical simulation and are hypothetical — they do not represent guaranteed or likely outcomes.,Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0010,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\docs\jim\JIM_ADVISOR_COMMUNICATION.md,line_block_9: ``` --- #### CAT-6: Simulation Review Available **Use when:** Advisor has run a hypothetical scenario and wants to share context with client ``` [CLIENT_READY_MESSAGE — CAT-6] Your advisor has prepared a portfolio analysis for discussion at your upcoming review. The analysis includes a review of your current profile and a hypothetical scenario showing the potential impact of different allocation approaches. All figures presented are based on historical simulation and are hypothetical — they do not represent guaranteed or likely outcomes. Your advisor will walk through these scenarios with you and answer any questions you may have. This messag,Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
