numero,livro,autor,tema,papel_no_JIM,usar_quando,arquivo_atual
00,Conquering the Seven Faces of Risk,Scott Juds/Judd (base Harpian; verificar grafia no livro),"BASE PRINCIPAL — Momentum, Temporal Portfolio Theory e gestão dinâmica de risco","Base de consulta número 1. Deve orientar a filosofia central Harpian sobre gestão de momentum, rotação temporal de portfólio, regime de mercado e gestão ativa de risco. Diferenciar explicitamente de value investing clássico, buy and hold e foco em dividendos.","momentum, temporal portfolio, TPT, gestão de momentum, regime, rotação, risco dinâmico, StormGuard, AlphaDroid, HPC, CORE11, críticas a buy and hold, value investing, dividendos",00 - Conquering the Seven Faces of Risk - Scott.pdf
01,Reading Price Charts Bar by Bar,Al Brooks,Price Action Técnica,"Leitura barra a barra, microestrutura visual, contexto do candle, entradas/saídas táticas","price action, candle, barra, suporte, resistência, tendência, pullback, reversão, scalp",01 - Reading Price Charts Bar by Bar - Al Brooks.pdf
02,Trading Price Action Trends,Al Brooks,Price Action Técnica,"Tendências, continuidade, canais, rompimentos, pullbacks e gestão tática da tendência","tendência, trend, canal, breakout, pullback, momentum visual",02 - Trading Price Action Trends - Al Brooks.pdf
03,Trading Price Action Trading Ranges,Al Brooks,Price Action Técnica,"Mercados laterais, ranges, falsas rupturas, compra no fundo/venda no topo com prudência","range, lateral, whipsaw, falso rompimento, consolidação",03 - Trading Price Action Trading Ranges - Al Brooks.pdf
04,Trading Price Action Reversals,Al Brooks,Price Action Técnica,"Reversões, exaustão, clímax, mudança de regime tático e risco de timing","reversão, exhaustion, climax, mudança de tendência",04 - Trading Price Action Reversals - Al Brooks.pdf
05,Market Wizards,Jack Schwager,Market Wizards Series,"Disciplina, diversidade de estilos vencedores, gestão de risco e humildade operacional","trader, disciplina, processo, risco, entrevista, gestão",05 - Market Wizards - Jack Schwager.pdf
06,The New Market Wizards,Jack Schwager,Market Wizards Series,"Novas entrevistas sobre edge, adaptação, controle emocional e execução","edge, adaptação, trader, disciplina, execução",06 - The New Market Wizards - Jack Schwager.pdf
07,Hedge Fund Market Wizards,Jack Schwager,Market Wizards Series,"Processos institucionais, hedge funds, assimetria, risco e construção de edge","hedge fund, institucional, concorrente, benchmark, risco",07 - Hedge Fund Market Wizards - Jack Schwager.pdf
08,Unknown Market Wizards,Jack Schwager,Market Wizards Series,"Traders menos conhecidos, consistência, processo e vantagem fora do consenso","processo, consistência, trader, edge, comportamento",08 - Unknown Market Wizards - Jack Schwager.pdf
09,Reminiscences of a Stock Operator,Edwin Lefèvre / Jesse Livermore,Psicologia do Trading,"Ciclos de especulação, disciplina, timing, erros recorrentes e psicologia de mercado","psicologia, especulação, erro, timing, disciplina, mercado",09 - Reminiscences of a Stock Operator.pdf
